species,ITS,ETS
affinis,KF821551.1,KF820905.1
albicans,KF821554.1,KF820909.1
alborufescens,MK020666.1,MK006525.1
amnicola,MK020556.1,MK006538.1
amoena,MK020552.1,MK006542.1
angelana,KF821560.1,KF820918.1
argyrophylla,MH743840.1,KF820925.1
astroplocama,NA,NA
atlantica,MH743843.1,MH743784.1
baumgratziana,MH743841.1,MH743782.1
brunnea,EU055730.1,KF820948.1
valtheri,EU055857.1,KF821267.1
burchellii,MK020548.1,MK006543.1
caiuia,NA,NA
calvescens,NA,KF820955.1
capixaba,MH743844.1,MH743785.1
castaneiflora,MH743845.1,MH743786.1
caudigera,EU055740.1,KF820963.1
chrysophylla,NA,NA
cinnamomifolia,EU055753.1,KF820982.1
cipoensis,KF821582.1,KF820983.1
collatata,EU055754.1,KF820986.1
corallina,KF821587.1,KF820990.1
cowanii,MK020559.1,MK006540.1
cubatanensis,EU055761.1,KF820999.1
cyathanthera,KF821592.1,KF821005.1
dichrophylla,MK020550.1,MK006539.1
discolor,EU055767.1,KF821015.1
dispar,KF821597.1,KF821016.1
dorsaliporosa,NA,NA
elata,MH743852.1,MH743793.1
eriodonta,KF821609.1,KF821035.1
fallax,MK020668.1,MK006586.1
fasciculata,EU055774.1,KF821037.1
ferruginata,MK020549.1,MK006544.1
flammea,NA,NA
formosa,MH743854.1,MH743794.1
heliotropoides,NA,NA
hyemalis,NA,NA
hypoleuca,EU055784.1,KF821062.1
kollmannii,GQ139308.1,KF821074.1
kriegeriana,KF821632.1,KF821076.1
laevigata,NA,NA
stelligera,NA,NA
lepidota,MH743859.1,MH743799.1
longispicata,NA,NA
loutergiana,KF821642.1,KF821101.1
lymanii,NA,NA
macrothyrsa,KF821646.1,KF821107.1
mellina,MK020535.1,NA
multispicata,NA,NA
nambyquarae,NA,NA
navioensis,MH743888.1,MH743823.1
octopetala,MH743865.1,MH743803.1
oraria,KF821670.1,KF821144.1
organensis,NA,NA
penduliflora,KF821675.1,KF821151.1
pennipilis,NA,MK006521.1
pepericarpa,KF821676.1,KF821153.1
petroniana,MH743868.1,MH743805.1
polyandra,MH743870.1,MH743806.1
pterocaulon,KF821685.1,KF821170.1
punctata,NA,NA
racemifera,MH743872.1,MH743808.1
renatogoldenbergii,NA,NA
robusta,MH743873.1,MH743809.1
rondoniensis,MK020558.1,MK006530.1
rufescens,AY460526.1,KF821198.1
ruficalyx,MH743874.1,MH743810.1
schwackei,NA,NA
sclerophylla,EU055835.1,KF821208.1
secundiflora,MH743890.1,MH743825.1
serialis,MH743892.1,MH743827.1
setosociliata,MH743877.1,MH743813.1
shepherdii,MH743878.1,MH743814.1
stenostachya,NA,NA
suberosa,MK020551.1,MK006587.1
sylvatica,EU055847.1,KF821235.1
tentaculifera,KF821711.1,KF821237.1
tiliifolia,NA,NA
triplinervis,NA,KF821257.1
valtheri_fake,NA,NA
weddellii,NA,NA
wildenowii,EU055858.1,KF821272.1
wittii,NA,NA
